alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
140.63,0.27891,0.92812,2.7784,3.5579,27.685,337.76,0.076919,0.076919,8.2259,291.71,274.26,105.18,8.2259,518.34,511.89,617.55,8.3028,668.63,650.6,166.21
3140.6,0.62891,0.72813,0.26499,1.1536,87.589,61.528,0.02321,0.02321,4.3068,288.95,283.78,89.896,4.3068,426.12,419.87,274.14,4.33,495.21,485.92,89.198
4640.6,0.10391,0.82813,1.4095,1.5527,25.725,329.43,0.036259,0.036259,4.2787,258.54,246.9,57.095,4.2787,447.17,441.55,299.58,4.3149,589.22,574.61,84.886
1640.6,0.45391,0.62812,0.15207,0.65227,149.25,46.083,0.022697,0.022697,3.2998,288.94,286.38,95.725,3.2998,391.62,386.66,216.62,3.3225,537.56,532.16,94.363
2390.6,0.016406,0.77812,1.3565,1.3811,27.276,299.48,0.036999,0.036999,4.5295,272.63,265.09,75.729,4.5295,439,433.44,313.02,4.5665,591.08,579.59,100.17
5390.6,0.36641,0.97813,2.2604,2.8909,26.655,419,0.060249,0.060249,5.3946,259.92,234.11,56.242,5.3946,505.55,499.76,416.07,5.4548,704.47,684.68,109.84
3890.6,0.19141,0.67812,0.49455,0.67209,49.55,173.31,0.024505,0.024505,2.8535,264.79,261.12,64.143,2.8535,391.08,386.36,191.38,2.878,567.6,560.2,74.201
890.63,0.54141,0.87813,1.6693,3.0582,35.071,219.22,0.058545,0.058545,7.615,298.94,286.07,111.17,7.615,503.99,497.24,546.94,7.6735,609.74,593.41,147.78
1265.6,0.14766,0.65312,0.53602,0.69813,54.613,163.77,0.029274,0.029274,3.2731,281.15,278.34,88.352,3.2731,397.99,393.46,227.77,3.3024,610.34,604.26,99.07
4265.6,0.49766,0.85312,1.2111,2.0463,32.754,233.51,0.03967,0.03967,5.1867,273.35,260.74,70.517,5.1867,468.87,462.66,362.67,5.2263,577.49,561.68,97.586
5765.6,0.32266,0.75313,0.64679,0.97749,38.154,200.33,0.024678,0.024678,3.2286,255.9,248.85,52.362,3.2286,412.18,406.86,214.29,3.2532,536.81,525.69,66.106
2765.6,0.67266,0.95313,2.4295,4.1754,31.025,308.46,0.075375,0.075375,7.8761,294.66,275.13,97.811,7.8761,530.39,523.79,598.19,7.9514,679.72,660.44,157.1
2015.6,0.23516,0.80312,1.28,1.6842,32.001,247.59,0.04096,0.04096,5.1696,278.1,269.3,82.456,5.1696,454.04,448.16,359.49,5.2106,591.38,578.69,109.4
5015.6,0.58516,0.60313,0.0025175,0.45351,299,1.047,0.015039,0.015039,2.4046,273.08,270.68,67.978,2.4046,364.98,359.97,146.77,2.4196,460.58,455.55,61.721
3515.6,0.060156,0.90312,2.2192,2.3282,23.09,400.17,0.051241,0.051241,5.5457,265.49,248.24,65.798,5.5457,481.54,475.57,405.49,5.5969,634.15,617.04,109.12
515.63,0.41016,0.70313,0.45409,1.0767,69.216,101.2,0.03143,0.03143,4.4869,294.4,290.37,106.98,4.4869,424.54,418.98,300.35,4.5184,564.52,556.84,114.01
703.13,0.082031,0.86562,2.3246,2.5099,25.359,347.49,0.058951,0.058951,6.6899,283.96,271.19,93.598,6.6899,487.29,481.09,486.44,6.7488,637.56,622.26,138.74
3703.1,0.43203,0.66563,0.25672,0.68279,84.277,84.814,0.021635,0.021635,3.0268,273.95,270.56,72.834,3.0268,391.52,386.42,196.04,3.0485,526.27,519.44,75.923
5203.1,0.25703,0.96562,2.2378,2.6701,25.38,425.47,0.056796,0.056796,5.2597,257.7,232.98,55.042,5.2597,497.82,491.97,401.04,5.3165,687.29,667.83,105.63
2203.1,0.60703,0.76563,0.49004,1.5327,61.152,94.646,0.029967,0.029967,5.1776,294.04,287.59,99.419,5.1776,447.48,441.01,339.87,5.2075,522.03,511.28,104.74
2953.1,0.34453,0.61562,0.21767,0.51892,100.4,81.857,0.021854,0.021854,2.6592,275.35,273,76.565,2.6592,377.06,372.63,177.53,2.6811,555.25,549.99,79.472
5953.1,0.69453,0.81563,0.69151,1.6628,40.35,156.59,0.027903,0.027903,4.4161,273.57,263.47,65.556,4.4161,451.27,444.91,294.54,4.444,520.33,505.92,78.434
4453.1,0.16953,0.71562,0.64884,0.81796,39.459,209.96,0.025603,0.025603,3.0903,260.7,255.68,59.264,3.0903,402.37,397.37,207.03,3.1159,560.83,551.78,72.413
1453.1,0.51953,0.91563,2.0997,3.4466,31.575,271.07,0.066297,0.066297,7.7459,293.77,277.57,102.23,7.7459,514.23,507.62,570.83,7.8122,639.39,621.51,150.67
1078.1,0.21328,0.74062,0.89982,1.2261,40.284,197.73,0.036249,0.036249,4.5508,283.7,278.36,91.894,4.5508,432.75,427.28,312.57,4.587,593.17,583.76,110.49
4078.1,0.56328,0.94063,2.072,3.2427,29.492,323.35,0.061108,0.061108,6.408,278.27,258.52,75.681,6.408,508.58,502.34,479.96,6.4691,660.92,642.15,125.96
5578.1,0.038281,0.64063,0.42753,0.45291,49.545,205.2,0.021182,0.021182,2.0834,251.97,249.09,50.026,2.0834,366.61,362.47,139.63,2.1046,564.53,558.15,57.813
2578.1,0.38828,0.84062,1.3545,2.0814,32.613,238.95,0.044172,0.044172,5.6684,279.59,268.3,82.058,5.6684,470.84,464.64,398.25,5.7126,590.69,575.83,111.87
1828.1,0.12578,0.99062,3.4525,3.7673,24.119,459.83,0.083272,0.083272,7.5083,277.14,251.4,82.109,7.5083,527.6,521.44,586.11,7.5915,721.47,701.6,154.9
4828.1,0.47578,0.79063,0.74819,1.3837,38.709,179.95,0.028962,0.028962,4.1577,268.41,259.73,64.541,4.1577,437.73,431.81,278.47,4.1867,537.29,524.54,80.212
3328.1,0.30078,0.89063,1.8164,2.3814,27.646,316.48,0.050216,0.050216,5.7393,271.35,255.65,71.588,5.7393,482.65,476.52,415.61,5.7895,621.16,604.39,111.69
328.13,0.65078,0.69063,0.043291,1.1471,299,8.6536,0.024323,0.024323,5.0026,310.23,306.49,129.52,5.0026,428.9,422.53,317.38,5.027,499.22,492.04,117.41
234.38,0.092969,0.75938,1.27,1.431,33.227,248.94,0.042199,0.042199,5.1016,287.12,281.15,99.138,5.1016,444.27,438.69,356.15,5.1438,612.3,602.42,123.64
3234.4,0.44297,0.95937,2.4478,3.4371,28.08,359.12,0.068733,0.068733,6.816,277.63,255.67,77.861,6.816,515.14,508.94,518.26,6.8848,682.14,662.81,136.29
4734.4,0.26797,0.65937,0.35197,0.56908,61.762,139.74,0.021738,0.021738,2.5188,261.08,257.8,58.83,2.5188,380,375.41,166.52,2.5405,549.68,542.83,65.84
1734.4,0.61797,0.85938,1.2949,2.741,37.985,184.61,0.049188,0.049188,7.0145,298.06,286.43,106.3,7.0145,493.91,487.06,492.75,7.0637,581.38,565.62,132.94
2484.4,0.18047,0.90938,2.2779,2.6525,25.362,362.85,0.057774,0.057774,6.2778,273.78,256.62,76.55,6.2778,492.58,486.41,462.22,6.3356,642.86,625.52,124.35
5484.4,0.53047,0.70937,0.29666,0.82112,67.352,95.605,0.019981,0.019981,3.103,266.74,261.81,61.31,3.103,401.2,395.63,197.34,3.123,496.22,487.14,65.069
3984.4,0.0054687,0.80937,1.4706,1.4783,24.575,340.56,0.036139,0.036139,4.3182,262.25,252.18,61.767,4.3182,443.44,437.85,300.65,4.3543,588.35,574.79,88.357
984.38,0.35547,0.60938,0.21473,0.59066,115.8,68.328,0.024867,0.024867,3.1427,288.88,286.7,98.266,3.1427,387.57,383.07,213.99,3.1676,574.53,569.61,100.21
1359.4,0.31172,0.83437,1.5085,2.1432,32.13,248.26,0.048469,0.048469,6.0765,284.75,274.24,92.021,6.0765,473.63,467.43,429.6,6.125,603.92,589.77,124.69
4359.4,0.66172,0.63438,-0.028045,0.60579,-299,-9.4622,0.014713,0.014713,2.9639,282.61,279.68,78.901,2.9639,382.48,376.79,178.43,2.9786,448.21,442.43,69.319
5859.4,0.13672,0.93437,1.9684,2.1685,23.721,426.55,0.046693,0.046693,4.6147,251,228.99,48.73,4.6147,478,472.32,342.95,4.6614,651.07,632.65,90.213
2859.4,0.48672,0.73438,0.47031,1.1421,58.004,112.16,0.02728,0.02728,4.1932,282.36,276.96,83.928,4.1932,425.76,419.92,275.07,4.2205,531.51,522.06,91.473
2109.4,0.049219,0.68437,0.72914,0.78382,40.43,217.98,0.029479,0.029479,3.345,274.57,270.97,78.555,3.345,403.33,398.6,230.26,3.3745,600.55,593.18,92.016
5109.4,0.39922,0.88437,1.4582,2.0843,28.728,297.67,0.041891,0.041891,4.8986,263.08,247.29,59.417,4.8986,471.04,465.05,350.15,4.9405,602.21,585.15,92.687
